run,lumi,evtid,cat
1,249,248156,eemt
1,249,248172,eemt
1,249,248184,eemt
1,249,248221,eemt
1,249,248267,eemt
1,249,248330,eemt
1,249,248358,eemt
1,249,248425,eemt
1,249,248501,eemt
1,249,248552,eemt
1,249,248997,eemt
1,250,249028,eemt
1,250,249120,eemt
1,250,249149,eemt
1,250,249232,eemt
1,250,249614,eemt
1,250,249612,eemt
1,250,249768,eemt
1,250,249905,eemt
1,250,249994,eemt
1,251,250056,eemt
1,251,250087,eemt
1,251,250145,eemt
1,251,250288,eemt
1,251,250625,eemt
1,251,250667,eemt
1,251,250707,eemt
1,251,250799,eemt
1,251,250974,eemt
1,252,251108,eemt
1,252,251154,eemt
1,252,251152,eemt
1,252,251203,eemt
1,252,251253,eemt
1,252,251331,eemt
1,252,251473,eemt
1,252,251532,eemt
1,252,251539,eemt
1,252,251596,eemt
1,252,251958,eemt
1,257,256131,eemt
1,257,256173,eemt
1,257,256290,eemt
1,257,256309,eemt
1,257,256508,eemt
1,257,256705,eemt
1,257,256760,eemt
1,257,256869,eemt
1,258,257062,eemt
1,258,257063,eemt
1,258,257157,eemt
1,258,257248,eemt
1,258,257256,eemt
1,258,257377,eemt
1,258,257474,eemt
1,258,257542,eemt
1,258,257877,eemt
1,258,257898,eemt
1,258,257912,eemt
1,258,257995,eemt
1,259,258051,eemt
1,259,258057,eemt
1,259,258095,eemt
1,259,258111,eemt
1,259,258172,eemt
1,259,258310,eemt
1,259,258376,eemt
1,259,258554,eemt
1,259,258569,eemt
1,259,258640,eemt
1,259,258666,eemt
1,259,258784,eemt
1,259,258805,eemt
1,259,258921,eemt
1,259,258944,eemt
1,260,259227,eemt
1,260,259369,eemt
1,260,259586,eemt
1,260,259747,eemt
1,260,259776,eemt
1,260,259833,eemt
1,115,114256,eemt
1,115,114273,eemt
1,115,114330,eemt
1,115,114351,eemt
1,115,114556,eemt
1,115,114609,eemt
1,115,114643,eemt
1,115,114967,eemt
1,116,115010,eemt
1,116,115725,eemt
1,116,115886,eemt
1,116,115972,eemt
1,25,24015,eemt
1,25,24049,eemt
1,25,24068,eemt
1,25,24270,eemt
1,25,24280,eemt
1,25,24377,eemt
1,25,24453,eemt
1,25,24546,eemt
1,25,24554,eemt
1,25,24703,eemt
1,25,24792,eemt
1,25,24879,eemt
1,25,24939,eemt
1,25,24981,eemt
1,26,25026,eemt
1,26,25141,eemt
1,26,25162,eemt
1,26,25203,eemt
1,26,25236,eemt
1,26,25300,eemt
1,26,25483,eemt
1,27,26040,eemt
1,27,26056,eemt
1,27,26054,eemt
1,27,26055,eemt
1,27,26198,eemt
1,27,26363,eemt
1,27,26434,eemt
1,27,26500,eemt
1,27,26525,eemt
1,27,26606,eemt
1,27,26636,eemt
1,27,26867,eemt
1,27,26881,eemt
1,27,26933,eemt
1,28,27082,eemt
1,28,27260,eemt
1,28,27546,eemt
1,28,27623,eemt
1,28,27663,eemt
1,28,27763,eemt
1,28,27793,eemt
1,28,27975,eemt
1,37,36037,eemt
1,37,36110,eemt
1,37,36254,eemt
1,37,36313,eemt
1,37,36506,eemt
1,37,36586,eemt
1,37,36899,eemt
1,37,36945,eemt
1,38,37006,eemt
1,38,37044,eemt
1,38,37059,eemt
1,38,37076,eemt
1,38,37212,eemt
1,38,37317,eemt
1,38,37336,eemt
1,38,37360,eemt
1,38,37433,eemt
1,38,37440,eemt
1,38,37614,eemt
1,38,37631,eemt
1,38,37694,eemt
1,38,37770,eemt
1,38,37844,eemt
1,38,37858,eemt
1,38,37867,eemt
1,38,37978,eemt
1,39,38036,eemt
1,39,38270,eemt
1,39,38337,eemt
1,39,38378,eemt
1,39,38484,eemt
1,39,38611,eemt
1,39,38667,eemt
1,39,38719,eemt
1,39,38918,eemt
1,40,39042,eemt
1,40,39424,eemt
1,40,39565,eemt
1,40,39654,eemt
1,40,39778,eemt
1,40,39784,eemt
1,40,39785,eemt
1,45,44250,eemt
1,45,44253,eemt
1,45,44584,eemt
1,45,44714,eemt
1,45,44772,eemt
1,45,44889,eemt
1,45,44923,eemt
1,45,44987,eemt
1,46,45028,eemt
1,46,45105,eemt
1,46,45115,eemt
1,46,45351,eemt
1,46,45342,eemt
1,46,45484,eemt
1,46,45609,eemt
1,46,45715,eemt
1,46,45743,eemt
1,46,45771,eemt
1,46,45833,eemt
1,46,45982,eemt
1,47,46204,eemt
1,47,46246,eemt
1,47,46274,eemt
1,47,46329,eemt
1,47,46383,eemt
1,47,46429,eemt
1,47,46459,eemt
1,47,46781,eemt
1,47,46782,eemt
1,48,47389,eemt
1,48,47701,eemt
1,48,47811,eemt
1,48,47857,eemt
1,48,47880,eemt
1,49,48183,eemt
1,49,48275,eemt
1,49,48295,eemt
1,49,48354,eemt
1,49,48431,eemt
1,49,48556,eemt
1,49,48565,eemt
1,49,48930,eemt
1,49,48937,eemt
1,49,48995,eemt
1,50,49036,eemt
1,50,49101,eemt
1,50,49635,eemt
1,50,49657,eemt
1,50,49905,eemt
1,50,49951,eemt
1,50,49965,eemt
1,51,50010,eemt
1,51,50177,eemt
1,51,50391,eemt
1,51,50784,eemt
1,51,50778,eemt
1,52,51001,eemt
1,52,51004,eemt
1,52,51304,eemt
1,52,51340,eemt
1,52,51396,eemt
1,52,51641,eemt
1,52,51651,eemt
1,52,51654,eemt
1,52,51739,eemt
1,289,288053,eemt
1,289,288463,eemt
1,289,288505,eemt
1,289,288556,eemt
1,289,288564,eemt
1,290,289039,eemt
1,290,289082,eemt
1,290,289277,eemt
1,290,289288,eemt
1,290,289538,eemt
1,290,289715,eemt
1,290,289782,eemt
1,290,289879,eemt
1,290,289973,eemt
1,291,290174,eemt
1,291,290299,eemt
1,291,290347,eemt
1,291,290397,eemt
1,291,290428,eemt
1,291,290482,eemt
1,291,290682,eemt
1,291,290723,eemt
1,291,290739,eemt
1,291,290776,eemt
1,291,290788,eemt
1,291,290808,eemt
1,291,290832,eemt
1,291,290935,eemt
1,292,291129,eemt
1,292,291246,eemt
1,292,291272,eemt
1,292,291284,eemt
1,292,291527,eemt
1,292,291639,eemt
1,292,291702,eemt
1,292,291712,eemt
1,292,291871,eemt
1,353,352070,eemt
1,353,352146,eemt
1,353,352331,eemt
1,353,352386,eemt
1,353,352415,eemt
1,353,352491,eemt
1,353,352535,eemt
1,353,352604,eemt
1,353,352652,eemt
1,354,353011,eemt
1,354,353073,eemt
1,354,353197,eemt
1,354,353293,eemt
1,354,353802,eemt
1,354,353849,eemt
1,369,368020,eemt
1,369,368083,eemt
1,369,368269,eemt
1,369,368415,eemt
1,369,368434,eemt
1,369,368435,eemt
1,369,368541,eemt
1,369,368603,eemt
1,369,368976,eemt
1,371,370077,eemt
1,371,370153,eemt
1,371,370312,eemt
1,371,370381,eemt
1,371,370401,eemt
1,371,370408,eemt
1,371,370424,eemt
1,371,370578,eemt
1,371,370602,eemt
1,150,149011,eemt
1,150,149028,eemt
1,150,149051,eemt
1,150,149186,eemt
1,150,149204,eemt
1,150,149229,eemt
1,150,149299,eemt
1,150,149356,eemt
1,150,149379,eemt
1,150,149416,eemt
1,150,149545,eemt
1,150,149696,eemt
1,150,149754,eemt
1,150,149766,eemt
1,150,149846,eemt
1,151,150060,eemt
1,151,150211,eemt
1,151,150274,eemt
1,151,150487,eemt
1,151,150503,eemt
1,151,150608,eemt
1,151,150686,eemt
1,151,150708,eemt
1,151,150875,eemt
1,152,151032,eemt
1,152,151092,eemt
1,152,151397,eemt
1,152,151617,eemt
1,152,151619,eemt
1,152,151668,eemt
1,152,151809,eemt
1,181,180029,eemt
1,181,180040,eemt
1,181,180408,eemt
1,181,180429,eemt
1,181,180444,eemt
1,181,180495,eemt
1,181,180547,eemt
1,181,180670,eemt
1,181,180776,eemt
1,181,180841,eemt
1,181,180916,eemt
1,181,180932,eemt
1,182,181038,eemt
1,182,181070,eemt
1,182,181079,eemt
1,182,181089,eemt
1,182,181125,eemt
1,182,181253,eemt
1,182,181297,eemt
1,182,181373,eemt
1,182,181689,eemt
1,182,181797,eemt
1,182,181930,eemt
1,183,182029,eemt
1,183,182129,eemt
1,183,182145,eemt
1,183,182173,eemt
1,183,182322,eemt
1,183,182432,eemt
1,183,182437,eemt
1,183,182478,eemt
1,183,182559,eemt
1,183,182691,eemt
1,183,182750,eemt
1,183,182831,eemt
1,183,182919,eemt
1,184,183059,eemt
1,184,183177,eemt
1,184,183178,eemt
1,184,183217,eemt
1,184,183266,eemt
1,184,183328,eemt
1,184,183592,eemt
1,184,183721,eemt
1,184,183828,eemt
1,184,183822,eemt
1,184,183834,eemt
1,184,183856,eemt
1,184,183975,eemt
1,277,276003,eemt
1,277,276047,eemt
1,277,276078,eemt
1,277,276162,eemt
1,277,276460,eemt
1,277,276465,eemt
1,277,276537,eemt
1,277,276653,eemt
1,277,276822,eemt
1,277,276894,eemt
1,277,276962,eemt
1,277,276968,eemt
1,278,277049,eemt
1,278,277204,eemt
1,278,277491,eemt
1,278,277548,eemt
1,278,277571,eemt
1,278,277618,eemt
1,278,277730,eemt
1,278,277745,eemt
1,278,277763,eemt
1,278,277770,eemt
1,278,277865,eemt
1,279,278069,eemt
1,279,278126,eemt
1,279,278147,eemt
1,279,278417,eemt
1,279,278456,eemt
1,279,278731,eemt
1,279,278895,eemt
1,279,278914,eemt
1,293,292076,eemt
1,293,292222,eemt
1,293,292313,eemt
1,293,292343,eemt
1,293,292498,eemt
1,293,292568,eemt
1,293,292722,eemt
1,293,292943,eemt
1,293,292954,eemt
1,293,292973,eemt
1,294,293009,eemt
1,294,293083,eemt
1,294,293147,eemt
1,294,293230,eemt
1,294,293227,eemt
1,294,293271,eemt
1,294,293282,eemt
1,294,293461,eemt
1,294,293555,eemt
1,294,293572,eemt
1,294,293611,eemt
1,294,293696,eemt
1,294,293987,eemt
1,294,293997,eemt
1,295,294037,eemt
1,295,294108,eemt
1,295,294154,eemt
1,295,294303,eemt
1,295,294361,eemt
1,295,294550,eemt
1,295,294680,eemt
1,295,294842,eemt
1,295,294866,eemt
1,295,294906,eemt
1,296,295009,eemt
1,296,295046,eemt
1,296,295164,eemt
1,296,295389,eemt
1,296,295517,eemt
1,296,295583,eemt
1,296,295743,eemt
1,296,295762,eemt
1,296,295930,eemt
1,320,319015,eemt
1,320,319101,eemt
1,320,319116,eemt
1,320,319163,eemt
1,320,319179,eemt
1,320,319413,eemt
1,320,319428,eemt
1,320,319714,eemt
1,320,319832,eemt
1,320,319856,eemt
1,333,332009,eemt
1,333,332069,eemt
1,333,332171,eemt
1,333,332310,eemt
1,333,332404,eemt
1,333,332468,eemt
1,333,332624,eemt
1,333,332651,eemt
1,333,332696,eemt
1,333,332856,eemt
1,334,333273,eemt
1,334,333569,eemt
1,334,333683,eemt
1,334,333722,eemt
1,334,333726,eemt
1,334,333717,eemt
1,334,333778,eemt
1,334,333893,eemt
1,334,333972,eemt
1,335,334198,eemt
1,335,334248,eemt
1,335,334350,eemt
1,335,334679,eemt
