,run,lumi,evtid,cat
228,1,179,178444,eeem
232,1,477,476501,eeem
329,1,479,478912,mmet
377,1,178,177556,mmmt
397,1,179,178704,mmmt
481,1,480,479160,mmmt
728,1,460,459185,eeet
878,1,489,488932,eett
1032,1,492,491622,mmet
1088,1,489,488027,mmmt
1312,1,457,456932,mmem
1534,1,445,444084,eett
1587,1,396,395573,mmet
2277,1,372,371935,eett
2477,1,317,316861,mmmt
2553,1,372,371014,mmmt
2592,1,378,377132,mmmt
2911,1,380,379744,mmtt
2935,1,355,354314,mmem
3082,1,260,259096,eemt
3165,1,258,257921,eett
3231,1,249,248880,mmet
3334,1,251,250132,mmmt
3700,1,464,463908,eeet
3886,1,339,338044,eett
4179,1,337,336623,mmmt
4273,1,463,462274,mmmt
4472,1,340,339952,mmtt
4647,1,281,280836,eeet
5338,1,32,31134,mmmt
5343,1,32,31330,mmmt
5454,1,299,298585,mmmt
5538,1,24,23091,mmtt
5841,1,281,280145,mmem
5913,1,130,129926,eeet
6402,1,120,119500,mmmt
6548,1,148,147993,mmmt
6802,1,119,118063,mmem
6875,1,212,211134,eeet
6933,1,358,357193,eeet
7128,1,217,216409,eett
7322,1,313,312054,eeem
8047,1,217,216794,mmem
8252,1,409,408038,mmmt
8395,1,1,373,eeet
8465,1,12,11657,eeet
9036,1,7,6772,mmet
9120,1,15,14930,mmet
9202,1,3,2301,mmmt
9315,1,10,9483,mmmt
9332,1,12,11041,mmmt
9432,1,499,498031,mmmt
9557,1,5,4151,mmtt
9622,1,8,7516,mmtt
9965,1,13,12013,mmem
10133,1,366,365272,eeet
10629,1,365,364606,eett
10654,1,374,373500,eett
10736,1,364,363011,eeem
11245,1,363,362191,mmmt
11748,1,364,363506,mmtt
12089,1,450,449537,eeet
12091,1,450,449810,eeet
12099,1,452,451329,eeet
12107,1,487,486045,eeet
12328,1,487,486488,eemt
12578,1,452,451129,eett
12614,1,486,485726,eett
12731,1,413,412052,mmet
12853,1,449,448877,mmet
12939,1,405,404653,mmmt
12945,1,406,405189,mmmt
13144,1,422,421115,mmmt
13177,1,424,423091,mmmt
13224,1,451,450162,mmmt
13227,1,451,450427,mmmt
13253,1,452,451703,mmmt
13331,1,405,404678,mmtt
13712,1,452,451939,mmtt
13927,1,201,200402,eeet
13966,1,215,214928,eeet
14222,1,387,386803,eemt
14878,1,201,200816,mmmt
14879,1,201,200870,mmmt
14981,1,216,215228,mmmt
14994,1,216,215574,mmmt
15010,1,221,220865,mmmt
15142,1,386,385785,mmmt
15173,1,394,393099,mmmt
15287,1,203,202832,mmtt
15708,1,394,393787,mmtt
15803,1,385,384007,mmem
15808,1,385,384756,mmem
15829,1,394,393178,mmem
15968,1,86,85160,eeet
16139,1,79,78097,eemt
16144,1,79,78592,eemt
16190,1,64,63491,eemt
16363,1,42,41309,eett
16411,1,57,56833,eett
16440,1,59,58891,eett
16531,1,63,62410,eett
16653,1,87,86720,eett
16786,1,70,69599,eeem
17218,1,42,41892,mmmt
17224,1,43,42327,mmmt
17251,1,57,56047,mmmt
17253,1,57,56358,mmmt
17286,1,59,58088,mmmt
17455,1,69,68629,mmmt
17565,1,88,87552,mmmt
17590,1,198,197250,mmmt
17605,1,199,198305,mmmt
18422,1,71,70450,mmem
18439,1,87,86201,mmem
18550,1,174,173940,eeet
19195,1,173,172033,eett
19682,1,341,340226,eeem
19693,1,343,342887,eeem
20145,1,191,190021,mmmt
20356,1,274,273163,mmmt
20450,1,287,286717,mmmt
20468,1,288,287812,mmmt
20475,1,481,480255,mmmt
20500,1,482,481962,mmmt
20527,1,484,483443,mmmt
20560,1,326,325537,mmmt
20736,1,376,375488,mmmt
21123,1,276,275008,mmtt
21749,1,103,102909,eeet
21785,1,153,152181,eeet
22001,1,161,160252,eemt
22166,1,103,102700,eett
22184,1,121,120203,eett
22482,1,156,155409,eeem
22799,1,103,102815,mmmt
22908,1,153,152682,mmmt
22922,1,154,153517,mmmt
23019,1,164,163203,mmmt
23434,1,156,155406,mmtt
23761,1,162,161227,mmem
23879,1,246,245772,eeet
23892,1,248,247346,eeet
23927,1,138,137085,eeet
24015,1,426,425587,eeet
24620,1,140,139626,eett
24750,1,167,166073,eeem
24781,1,138,137467,eeem
24879,1,168,167818,mmet
24911,1,247,246322,mmet
25010,1,455,454418,mmet
25147,1,136,135161,mmmt
25161,1,136,135675,mmmt
25278,1,265,264393,mmmt
25282,1,265,264764,mmmt
25289,1,266,265106,mmmt
25304,1,266,265907,mmmt
25468,1,140,139948,mmmt
25474,1,141,140605,mmmt
25479,1,141,140850,mmmt
25537,1,426,425324,mmmt
25649,1,136,135409,mmtt
25742,1,168,167226,mmtt
26308,1,166,165503,mmem
26390,1,454,453873,mmem
26961,1,227,226316,eemt
27138,1,255,254675,eemt
27319,1,383,382993,eett
27547,1,269,268402,eett
27731,1,382,381974,eeem
28587,1,438,437148,mmmt
28644,1,206,205162,mmmt
28683,1,208,207350,mmmt
28830,1,271,270093,mmmt
28918,1,311,310795,mmmt
28919,1,311,310811,mmmt
28936,1,312,311731,mmmt
28983,1,253,252081,mmmt
29403,1,431,430611,mmtt
29583,1,207,206176,mmtt
29613,1,208,207424,mmtt
29783,1,271,270136,mmtt
29958,1,232,231197,mmtt
30076,1,98,97527,mmem
30215,1,231,230654,mmem
30283,1,185,184687,eeet
30291,1,186,185588,eeet
30392,1,403,402702,eeet
30452,1,475,474226,eeet
30458,1,476,475412,eeet
