,run,lumi,evtid,cat
110,1,260,259096,eemt
193,1,258,257921,eett
259,1,249,248880,mmet
362,1,251,250132,mmmt
858,1,445,444084,eett
911,1,396,395573,mmet
1545,1,179,178444,eeem
1549,1,477,476501,eeem
1646,1,479,478912,mmet
1694,1,178,177556,mmmt
1714,1,179,178704,mmmt
1798,1,480,479160,mmmt
2045,1,460,459185,eeet
2195,1,489,488932,eett
2349,1,492,491622,mmet
2405,1,489,488027,mmmt
2629,1,457,456932,mmem
2700,1,130,129926,eeet
3189,1,120,119500,mmmt
3335,1,148,147993,mmmt
3589,1,119,118063,mmem
3696,1,464,463908,eeet
3882,1,339,338044,eett
4175,1,337,336623,mmmt
4269,1,463,462274,mmmt
4468,1,340,339952,mmtt
4884,1,372,371935,eett
5084,1,317,316861,mmmt
5160,1,372,371014,mmmt
5199,1,378,377132,mmmt
5518,1,380,379744,mmtt
5542,1,355,354314,mmem
5706,1,366,365272,eeet
6202,1,365,364606,eett
6227,1,374,373500,eett
6309,1,364,363011,eeem
6818,1,363,362191,mmmt
7321,1,364,363506,mmtt
7570,1,212,211134,eeet
7628,1,358,357193,eeet
7823,1,217,216409,eett
8017,1,313,312054,eeem
8742,1,217,216794,mmem
8841,1,281,280836,eeet
9532,1,32,31134,mmmt
9537,1,32,31330,mmmt
9648,1,299,298585,mmmt
9732,1,24,23091,mmtt
10035,1,281,280145,mmem
10136,1,246,245772,eeet
10149,1,248,247346,eeet
10184,1,138,137085,eeet
10272,1,426,425587,eeet
10877,1,140,139626,eett
11007,1,167,166073,eeem
11038,1,138,137467,eeem
11136,1,168,167818,mmet
11168,1,247,246322,mmet
11267,1,455,454418,mmet
11404,1,136,135161,mmmt
11418,1,136,135675,mmmt
11535,1,265,264393,mmmt
11539,1,265,264764,mmmt
11546,1,266,265106,mmmt
11561,1,266,265907,mmmt
11725,1,140,139948,mmmt
11731,1,141,140605,mmmt
11736,1,141,140850,mmmt
11794,1,426,425324,mmmt
11906,1,136,135409,mmtt
11999,1,168,167226,mmtt
12565,1,166,165503,mmem
12647,1,454,453873,mmem
12681,1,201,200402,eeet
12720,1,215,214928,eeet
12976,1,387,386803,eemt
13632,1,201,200816,mmmt
13633,1,201,200870,mmmt
13735,1,216,215228,mmmt
13748,1,216,215574,mmmt
13764,1,221,220865,mmmt
13896,1,386,385785,mmmt
13927,1,394,393099,mmmt
14041,1,203,202832,mmtt
14462,1,394,393787,mmtt
14557,1,385,384007,mmem
14562,1,385,384756,mmem
14583,1,394,393178,mmem
14596,1,1,373,eeet
14666,1,12,11657,eeet
15237,1,7,6772,mmet
15321,1,15,14930,mmet
15403,1,3,2301,mmmt
15516,1,10,9483,mmmt
15533,1,12,11041,mmmt
15633,1,499,498031,mmmt
15758,1,5,4151,mmtt
15823,1,8,7516,mmtt
16166,1,13,12013,mmem
16320,1,450,449537,eeet
16322,1,450,449810,eeet
16330,1,452,451329,eeet
16338,1,487,486045,eeet
16559,1,487,486488,eemt
16809,1,452,451129,eett
16845,1,486,485726,eett
16962,1,413,412052,mmet
17084,1,449,448877,mmet
17170,1,405,404653,mmmt
